Category,Company,Key Contact,Phone,Email,Contact Strategy,Lead Score,Subject Line,Message
Airlines & Travel,Cathay Pacific,Marketing Mgr,(02) 8333 3000,aus_marketing@cathaypacific.com,"Rugby 7s. Align with the ""Fast-Format Sport"" (F3 vs 7s).",,,
Airlines & Travel,Air NZ,Regional Mgr,(02) 8335 9300,aus_marketing@airnz.co.nz,"NZ Tourism. Pitch as the ""Trans-Tasman"" series connector.",,,
Airlines & Travel,Turkish Air,Marketing Lead,(03) 8601 2700,marketing.au@thy.com,UEFA. Focus on high-visibility pitch branding.,,,
Airlines & Travel,United Airlines,Regional Mgr,(02) 9244 2100,aus_sales@united.com,PGA Golf. Align with the high-society golf demographic.,,,
Airlines & Travel,Delta Air Lines,Marketing Lead,(02) 9244 2100,aus_marketing@delta.com,"US Tennis. Focus on the ""Summer Series"" launch in October.",,,
Airlines & Travel,ANA,Marketing Mgr,(02) 9233 8211,marketing.au@ana.co.jp,Cultural exchange. Pitch the Brisbane event for Japanese expats.,,,
Airlines & Travel,Helloworld,Head of Mktg,(03) 9867 9600,marketing@helloworld.com.au,Local Sport. Use to reach the travel-booking demographic.,,,
Airlines & Travel,Flight Centre,Premium Mktg,(07) 3170 7070,marketing@flightcentre.com.au,"Luxe Travel. Pitch as the ""Weekend Getaway"" event of the year.",,,
Airlines & Travel,Luxperience,Event Director,(02) 8268 4444,info@luxperience.com.au,B2B Luxury Travel. Use as a client networking event.,,,
Airlines & Travel,Abercrombie & Kent,Marketing Lead,(03) 9536 1800,marketing@abercrombiekent.com.au,"Luxe Safaris. Overlap with the ""Outdoors/Equestrian"" wealth crowd.",,,
Airlines & Travel,Scenic Luxury,Head of Brand,(02) 4925 7444,marketing@scenic.com.au,Cruising. Target the 50+ wealth demographic.,,,
Airlines & Travel,Silversea,Marketing Dir,(02) 9255 0600,marketing.au@silversea.com,"Elite Arts. Focus on the ""Sophisticated"" side of Polo.",,,
Airlines & Travel,Captain’s Choice,Marketing Lead,(03) 8508 8508,marketing@captainschoice.com.au,"Heritage Travel. Focus on the ""History & Prestige"" of the sport.",,,
Airlines & Travel,Avis Budget Group,Marketing Lead,(02) 9353 9000,marketing@avis.com.au,"Touring. Pitch as the official ""Elite Fleet"" partner.",,,
Energy & Telecommunications,Telstra,Brent Smart (CMO),(02) 9244 4400,brent.smart@team.telstra.com,"AFL / Ballet. Pitch as the ""Digital Stadium"" for F3 data.",,,
Energy & Telecommunications,Optus,Head of Brand,(02) 8082 7800,sponsorship@optus.com.au,"Matildas. Focus on the ""Inclusive Youth"" high-energy angle.",,,
Energy & Telecommunications,Vodafone (TPG),Marketing Dir,(02) 9030 0000,sponsorships@vodafone.com.au,"Cricket. Pitch as the ""Summer Sport"" warm-up event.",,,
Energy & Telecommunications,Starlink,Business Sales,(02) 9244 4400,sales@spacex.com,"Remote Connectivity. Pitch the ""Connected Field"" Wi-Fi activation.",,,
Energy & Telecommunications,Aussie Broadband,Marketing Lead,1300 880 905,marketing@aussiebroadband.com.au,"Local Community. Focus on the Brisbane/Sydney ""Grassroots elite.""",,,
Energy & Telecommunications,Origin Energy,C. Anderson,(02) 8345 3000,catherine.anderson@origin.com.au,"Netball. Pitch ""Clean Energy"" to power the event village.",,,
Energy & Telecommunications,Ampol AU,Sean Phillips,(02) 9250 5000,sean.phillips@ampol.com.au,"State of Origin. Focus on the ""Ampol Charge"" EV lounge.",,,
Energy & Telecommunications,Viva Energy,Marketing Mgr,(03) 8823 4444,sponsorship@vivaenergy.com.au,Motorsport. Use the F3 speed data to align with Shell V-Power.,,,
Energy & Telecommunications,AGL Energy,Head of Mktg,(02) 9921 2999,marketing@agl.com.au,"Sustainable Living. Focus on ""Zero-Waste"" event credentials.",,,
Energy & Telecommunications,EnergyAustralia,Marketing Lead,(03) 8628 1000,marketing@energyaustralia.com.au,Arts/Regional. Link the Brisbane-Sydney corridor.,,,
Energy & Telecommunications,Tesla Energy,Marketing Mgr,(02) 9345 3000,australia_sales@tesla.com,"Innovation Tech. Target the ""Future"" part of F3.",,,
Energy & Telecommunications,Sungevity,Marketing Lead,1800 922 822,marketing@sungevity.com.au,Green Events. Focus on the outdoor/nature aspect of polo.,,,
Energy & Telecommunications,Red Energy,Brand Manager,131 806,marketing@redenergy.com.au,"AFL. Pitch as a targeted, high-value alternative.",,,
Energy & Telecommunications,Alinta Energy,Marketing Lead,(02) 9372 2600,marketing@alintaenergy.com.au,"Cricket. Focus on the ""Summer Social"" aspect.",,,
Energy & Telecommunications,Vocus Group,Marketing Mgr,(03) 9674 6500,marketing@vocus.com.au,B2B Tech. Use for corporate hospitality for IT partners.,,,
Energy & Telecommunications,Superloop,Head of Mktg,(07) 3905 2400,marketing@superloop.com,"Esports. Link the ""Fast Data"" of gaming with F3 Polo stats.",,,
Energy & Telecommunications,Amber Electric,Partnerships,1800 531 907,info@amber.com.au,Energy Partner of the Year. Focus on EV integration.,,,
Energy & Telecommunications,Mate. (Telecom),Marketing Mgr,1300 881 917,marketing@letsbemates.com.au,"Football. Pitch the ""New Era"" sports fan profile.",,,
Energy & Telecommunications,Exetel,Marketing Lead,13 39 38,marketing@exetel.com.au,Family Tech. Target the family/social aspect of Sundays.,,,
Energy & Telecommunications,Dodo,Marketing Mgr,13 36 36,marketing@dodo.com.au,Mass Market. Use for public village naming rights.,,,
Fashion & Lifestyle,Hugo Boss AU,Sales Director,(03) 9474 3000,sales-au@hugoboss.com,"F1 / AO Tennis. Align with ""The BOSS Spirit"" and the Polo circuit.",,,
Fashion & Lifestyle,Ralph Lauren AU,Marketing Mgr,(02) 9331 7100,marketing@ralphlauren.com.au,Wimbledon. Use their iconic global Polo heritage.,,,
Fashion & Lifestyle,R.M. Williams,Head of Mktg,(02) 9028 3000,marketing@rmwilliams.com.au,"Agricultural Shows. Bridge the gap between ""Bush"" and ""City.""",,,
Fashion & Lifestyle,Zimmermann,Marketing Dept,(02) 9310 3222,marketing@zimmermann.com,Vogue events. Focus on the high-fashion Sydney social set.,,,
Fashion & Lifestyle,L'Oréal Luxe,Georgia Hack,(03) 8680 0000,georgia.hack@loreal.com,"Fashion Week. Pitch ""The Beauty Suite"" in the VIP marquee.",,,
Fashion & Lifestyle,Estée Lauder AU,Marketing Dir,(02) 9211 6911,marketing@estee.com.au,Major Galas. Focus on the HNW female demographic.,,,
Fashion & Lifestyle,Country Road,Head of Mktg,(03) 8509 4000,marketing@countryroad.com.au,"The Arts. Pitch as the ""Modern Australian"" lifestyle choice.",,,
Fashion & Lifestyle,M.J. Bale,Marketing Mgr,(02) 8208 8800,marketing@mjbale.com,Cricket / Polo. Longtime polo supporter; pitch the F3 upgrade.,,,
Fashion & Lifestyle,Calibre,Brand Manager,(03) 9429 4444,marketing@calibre.com.au,"Dancer/Arts. Focus on the ""Motion & Style"" of the sport.",,,
Fashion & Lifestyle,Saba,Marketing Lead,(02) 8080 9000,marketing@saba.com.au,"Minimalist Art. Pitch the ""Clean Aesthetic"" of the event.",,,
Fashion & Lifestyle,Scanlan Theodore,Marketing Mgr,(03) 9826 5858,marketing@scanlantheodore.com.au,"Private Client events. Focus on the ""Society"" guest list.",,,
Fashion & Lifestyle,Camilla,Brand Director,(02) 8353 1800,marketing@camilla.com,"Festivals. Pitch the high-energy ""Urban"" side of the event.",,,
Fashion & Lifestyle,Oroton,Marketing Lead,(02) 8274 6500,marketing@oroton.com.au,"Heritage events. Align with the ""Australian Classic"" feel.",,,
Fashion & Lifestyle,Mimco,Marketing Mgr,(03) 8509 4000,marketing@mimco.com.au,Youth Fashion. Focus on the Instagrammable moments.,,,
Fashion & Lifestyle,Gant Australia,Brand Manager,(03) 9553 3777,marketing@gant.com.au,"Yachting. Target the ""Preppy/Nautical"" wealth cross-over.",,,
Fashion & Lifestyle,Tommy Hilfiger,Marketing Lead,(02) 8303 9800,marketing@tommy.com.au,"F1. Pitch the ""Sporty Preppy"" style of the F3 brand.",,,
Fashion & Lifestyle,Calvin Klein AU,Marketing Mgr,(02) 8303 9800,marketing@ck.com.au,"Music/Pop Culture. Target the ""After Party"" branding.",,,
Fashion & Lifestyle,Uniqlo AU,Head of Mktg,(03) 9635 1500,marketing@uniqlo.com.au,"Tennis. Focus on ""LifeWear"" and the outdoor active crowd.",,,
Fashion & Lifestyle,Sephora AU,Marketing Dir,(02) 9221 3400,marketing@sephora.com.au,"Music Festivals. Pitch the ""Beauty Bar"" for the Gen Z/Millennial set.",,,
Fashion & Lifestyle,MECCA Brands,Partnerships,(03) 9420 7300,partnerships@mecca.com.au,"The NGV / Arts. Focus on ""Experiential Retail"" on-site.",,,
"Alcohol (Champagne, Spirits & B",Moët Hennessy,Nausicaa Charrier,(02) 8344 9900,ncharrier@moethennessy.com,Spring Racing. Position as the exclusive boutique alternative.,,,
"Alcohol (Champagne, Spirits & B",Pernod Ricard,Marketing Dir,(02) 8874 8222,marketing.au@pernod-ricard.com,"Australian Open (Mumm). Use as a ""Pre-AO"" launch platform.",,,
"Alcohol (Champagne, Spirits & B",Asahi (Peroni),Nigel Parsons,(03) 8862 3333,nigel.parsons@asahi.com.au,"F1. Align ""Peroni Nastro Azzurro 0.0%"" with speed.",,,
"Alcohol (Champagne, Spirits & B",Treasury Wine,Tim Ford (CEO),(03) 8533 3000,tim.ford@tweglobal.com,"AFL (Penfolds). Pitch as the ""Luxe Tier"" for high-end clients.",,,
"Alcohol (Champagne, Spirits & B",Lion (Heineken),Marketing Mgr,(02) 9320 2200,marketing@lionco.com,"F1 / Rugby. Pitch as the official ""Public Village"" beer.",,,
"Alcohol (Champagne, Spirits & B",Diageo AU,C. Mullane,(02) 9126 7100,courtenay.mullane@diageo.com,"F1 (Johnny Walker). Target the ""Spirits Garden"" activation.",,,
"Alcohol (Champagne, Spirits & B",CUB (Carlton),Head of Mktg,(03) 9633 2000,marketing@cub.com.au,"Local Rugby. Target for the ""Beer & Burger"" crowd.",,,
"Alcohol (Champagne, Spirits & B",Archie Rose,Marketing Mgr,(02) 8458 2300,marketing@archierose.com.au,"Arts / Gin. Pitch the ""Australian Spirits Bar.""",,,
"Alcohol (Champagne, Spirits & B",Four Pillars,Brand Director,(03) 5962 2793,marketing@fourpillarsgin.com.au,"Sydney/Melb events. Focus on the ""Social Gin"" set.",,,
"Alcohol (Champagne, Spirits & B",Brown-Forman,Marketing Lead,(02) 9764 8777,marketing_au@b-f.com,"Jack Daniels events. Pitch the ""Whiskey & Wagons"" vibe.",,,
"Alcohol (Champagne, Spirits & B",Campari AU,Marketing Mgr,(02) 9478 2727,marketing.au@campari.com,"Australian Open (Aperol). Pitch ""The Aperol Terrace"" field-side.",,,
"Alcohol (Champagne, Spirits & B",Bacardi-Martini,Brand Lead,(02) 9405 1000,marketing.au@bacardi.com,"Lifestyle festivals. Focus on the ""Polo After Party.""",,,
"Alcohol (Champagne, Spirits & B",William Grant,Marketing Mgr,(02) 9409 1500,marketing.au@wgrant.com,"Hendrick’s Gin. Pitch the ""Whimsical & Eccentric"" polo day.",,,
"Alcohol (Champagne, Spirits & B",Henkell,Marketing Lead,(02) 8310 1300,marketing.au@henkell-freixenet.com,Fashion Events. Focus on high-volume prosecco sales.,,,
"Alcohol (Champagne, Spirits & B",Casella Family,Marketing Mgr,(02) 6961 3000,marketing@casellafamilybrands.com,SME business. Target the regional wealth demographic.,,,
"Alcohol (Champagne, Spirits & B",Accolade Wines,Head of Brand,(08) 8392 2222,marketing@accoladewines.com,"Local Festivals. Pitch as the official ""Pourage Partner.""",,,
"Alcohol (Champagne, Spirits & B",Handpicked,Marketing Lead,(02) 9399 2100,marketing@handpickedwines.com.au,"Vogue Fashion Night. Focus on the Sydney ""Luxe"" set.",,,
"Alcohol (Champagne, Spirits & B",Vasse Felix,Marketing Mgr,(08) 9756 5000,marketing@vassefelix.com.au,"Fine Dining. Target the ""Foodie"" wealth demographic.",,,
"Alcohol (Champagne, Spirits & B",Shaw and Smith,Brand Lead,(08) 8398 0500,marketing@shawandsmith.com,"Elite Arts. Focus on the ""Cult Brand"" following.",,,
"Alcohol (Champagne, Spirits & B",Tyrrell’s Wines,Marketing Mgr,(02) 4993 7000,marketing@tyrrells.com.au,"Legacy Sports. Use their historic ""Hunter Valley"" prestige.",,,
Hotels & Resorts,Crown Resorts,Amber Muir,(03) 9292 8888,amber.muir@crownresorts.com.au,Culinary Events. Pitch as the official accommodation partner.,,,
Hotels & Resorts,The Star,Head of Mktg,(02) 9777 9000,marketing@thestar.com.au,Logies / Arts. Focus on the high-energy Sydney nightlife link.,,,
Hotels & Resorts,IHG Hotels,Matt Tripolone,(02) 9935 8300,matt.tripolone@ihg.com,"AFL (Intercontinental). Pitch the ""Luxe Tier"" for executive stays.",,,
Hotels & Resorts,Marriott Int.,Marketing Dir,(02) 9290 3100,marketing.au@marriott.com,"Australian Open (W Hotels). Focus on ""The After Party"" HQ.",,,
Hotels & Resorts,TFE (Calile),Brand Manager,(02) 9356 1000,marketing@tfehotels.com,Brisbane Fashion. Focus on the Oct 31 Brisbane event exclusively.,,,
Hotels & Resorts,Hyatt AU,Marketing Mgr,(03) 9657 1234,marketing.au@hyatt.com,Business Events. Target the corporate traveler.,,,
Hotels & Resorts,Hilton AU,Marketing Lead,(02) 9266 2000,marketing.au@hilton.com,"Hospitality awards. Focus on the ""VIP Service"" angle.",,,
Hotels & Resorts,Accor Luxe,Marketing Dir,(02) 9280 9888,marketing.au@accor.com,"Sailing (Sofitel). Link to the ""Harbourside Luxury"" demographic.",,,
Hotels & Resorts,The Langham,Marketing Mgr,(03) 8696 8888,marketing.au@langhamhotels.com,"Classic Luxury. Pitch the ""Traditional Polo Afternoon Tea.""",,,
Hotels & Resorts,Four Seasons,Marketing Lead,(02) 9250 3100,marketing.sydney@fourseasons.com,"Philanthropy. Pitch for the Sydney Nov 14 ""Charity Cup.""",,,
Hotels & Resorts,Shangri-La Syd,Marketing Mgr,(02) 9250 6000,marketing.sydney@shangri-la.com,International Business. Target the expat wealth crowd.,,,
Hotels & Resorts,Park Hyatt Syd,Brand Lead,(02) 9256 1234,sydney.park@hyatt.com,Ultra-HNW. Focus on the most exclusive 1% demographic.,,,
Hotels & Resorts,QT Hotels,Head of Mktg,(02) 9267 0000,marketing@qthotels.com.au,"Pop Culture. Pitch the ""Bold & Fresh"" F3 brand style.",,,
Hotels & Resorts,Ovolo Hotels,Marketing Dir,(02) 9331 9000,marketing@ovolohotels.com,"Youth Culture. Target the ""Urban Polo"" demographic.",,,
Hotels & Resorts,Crystalbrook,Marketing Lead,(02) 9048 4400,marketing@crystalbrookcollection.com,Eco-Tourism. Focus on the event's sustainability.,,,
Hotels & Resorts,Meriton Suites,Marketing Mgr,(02) 9277 1111,marketing@meriton.com.au,Sydney Society. Focus on high-visibility branding.,,,
Hotels & Resorts,Spicers Retreats,Marketing Lead,1300 127 170,marketing@spicersretreats.com,"Nature Retreats. Focus on the outdoor ""Field"" lifestyle.",,,
Hotels & Resorts,Bannisters,Marketing Mgr,(02) 4455 3044,marketing@bannisters.com.au,"Coastal Social. Target the Sydney ""Harbourside"" crowd.",,,
Hotels & Resorts,Halcyon House,Marketing Lead,(02) 6676 1444,marketing@halcyonhouse.com.au,"Boutique Luxe. Focus on the ""Influencer"" guest list.",,,
Hotels & Resorts,Longitude 131,Partnerships,(02) 9918 4355,info@baillielodges.com.au,Luxury Travel of Year. High-ticket cross-promotion.,,,
Media & Digital Partners,News Corp AU,Lou Barrett,(02) 9288 3000,lou.barrett@news.com.au,"AFL / Racing. Sell exclusive ""Social"" and ""Fashion"" rights.",,,
Media & Digital Partners,Nine Network,M. Stephenson,(02) 9906 9999,mstephenson@nine.com.au,"Australian Open / Olympics. Pitch as the ""Summer Social"" content.",,,
Media & Digital Partners,Nova Ent.,Peter Charlton,(02) 9564 9999,pcharlton@novaentertainment.com.au,"Music / AO. Pitch the ""After Party"" and youth reach.",,,
Media & Digital Partners,ARN (Radio),Ciaran Davis,(02) 9435 9999,ciarandavis@arn.com.au,"Spring Carnival. Focus on the ""Social Season"" listener.",,,
Media & Digital Partners,Seven West,Kurt Burnette,(02) 8777 7777,kburnette@seven.com.au,"Cricket / Racing. Pitch as the ""Luxe alternative"" for 2026.",,,
Media & Digital Partners,Are Media,Jane Huxley,(02) 9282 8000,jane.huxley@aremedia.com.au,"Fashion (Vogue). Pitch as the ""Social Calendar"" anchor.",,,
Media & Digital Partners,Val Morgan,Marketing Mgr,(02) 9373 6600,marketing@valmorgan.com.au,"Blockbuster Films. Pitch the ""Visual Cinema"" of live F3 Polo.",,,
Media & Digital Partners,JCDecaux AU,Partnerships,(02) 9557 6555,partnerships@jcdecaux.com.au,"Art / Fashion. Focus on ""High-Net-Worth Outdoor"" visibility.",,,
Media & Digital Partners,oOh!media,Sales Director,(02) 9927 5555,marketing@oohmedia.com.au,Retail / Airport. Focus on the Brisbane/Sydney traveler.,,,
